Date	Open	High	Low	Close	Volume
20200203	35.209999	36.060001	35.029999	35.849998	35.849998
20200204	36.500000	37.240002	36.259998	36.930000	36.930000
20200205	37.549999	37.669998	37.169998	37.650002	37.650002
20200206	38.000000	38.240002	37.549999	37.900002	37.900002
20200207	37.660000	37.950001	37.119999	37.349998	37.349998
20200210	37.160000	37.270000	36.689999	36.939999	36.939999
20200211	37.099998	37.950001	37.090000	37.820000	37.820000
20200212	37.900002	38.400002	37.900002	38.340000	38.340000
20200213	38.150002	38.470001	37.990002	38.240002	38.240002
20200214	38.230000	38.570000	38.009998	38.320000	38.320000
20200218	38.279999	38.439999	37.880001	38.290001	38.290001
20200219	38.369999	38.660000	38.189999	38.290001	38.290001
20200220	38.410000	39.310001	38.290001	39.020000	39.020000
20200221	38.840000	39.180000	38.450001	38.860001	38.860001
20200224	38.049999	38.389999	37.240002	37.759998	37.759998
20200225	37.980000	38.180000	35.970001	36.160000	36.160000
20200226	36.669998	36.830002	35.889999	35.959999	35.959999
20200227	35.369999	36.450001	34.759998	35.020000	35.020000
20200228	33.810001	34.840000	33.490002	34.220001	34.220001
20200302	34.330002	35.189999	33.310001	35.180000	35.180000
20200303	34.840000	36.389999	34.180000	34.389999	34.389999
20200304	34.980000	35.590000	34.340000	35.529999	35.529999
20200305	34.549999	36.049999	34.480000	34.840000	34.840000
20200306	33.500000	34.290001	33.320000	34.160000	34.160000
20200309	31.870001	32.840000	30.610001	31.190001	31.190001
20200310	32.220001	33.619999	31.299999	33.599998	33.599998
20200311	32.470001	33.669998	32.320000	32.930000	32.930000
20200312	30.540001	32.840000	29.790001	30.870001	30.870001
20200313	32.799999	34.150002	31.209999	34.090000	34.090000
20200316	30.510000	33.980000	30.000000	31.719999	31.719999
20200317	32.380001	35.130001	32.029999	34.509998	34.509998
20200318	32.740002	34.799999	31.389999	33.450001	33.450001
20200319	33.410000	35.459999	32.000000	32.299999	32.299999
20200320	32.360001	32.380001	28.469999	28.740000	28.740000
20200323	30.000000	30.000000	26.719999	28.180000	28.180000
20200324	29.030001	31.480000	29.030001	31.370001	31.370001
20200325	30.770000	31.799999	29.809999	30.230000	30.230000
20200326	30.320000	32.549999	29.459999	32.310001	32.310001
20200327	31.170000	31.799999	30.190001	31.040001	31.040001
20200330	31.080000	32.230000	30.799999	31.799999	31.799999
20200331	31.450001	32.279999	30.959999	31.250000	31.250000
20200401	30.170000	31.000000	29.920000	30.610001	30.610001
20200402	30.730000	31.309999	30.170000	30.650000	30.650000
20200403	30.500000	31.340000	30.010000	30.480000	30.480000
20200406	31.440001	32.310001	31.129999	32.180000	32.180000
20200407	32.040001	33.650002	31.930000	32.009998	32.009998
20200408	32.419998	32.669998	31.639999	32.490002	32.490002
20200409	32.740002	33.709999	32.549999	33.619999	33.619999
20200413	32.610001	33.419998	31.870001	32.270000	32.270000
20200414	34.430000	35.169998	32.820000	34.540001	34.540001
20200415	34.150002	34.810001	33.720001	34.560001	34.560001
20200416	34.779999	35.520000	34.169998	35.430000	35.430000
20200417	36.310001	36.919998	35.389999	35.930000	35.930000
20200420	35.549999	35.919998	34.889999	34.919998	34.919998
20200421	34.490002	34.820000	33.959999	34.139999	34.139999
20200422	34.750000	35.020000	34.400002	34.590000	34.590000
