Date	Open	High	Low	Close	Volume
20200203	74.919998	75.320000	74.279999	74.440002	74.440002
20200204	75.269997	75.860001	74.699997	74.910004	74.910004
20200205	75.779999	76.540001	75.779999	76.070000	76.070000
20200206	76.040001	76.400002	75.489998	75.849998	75.849998
20200207	75.400002	76.169998	75.199997	75.360001	75.360001
20200210	74.980003	75.900002	74.650002	75.570000	75.570000
20200211	76.199997	76.669998	75.739998	75.940002	75.940002
20200212	76.680000	76.800003	75.949997	76.410004	76.410004
20200213	76.169998	76.320000	75.739998	76.220001	76.220001
20200214	76.470001	76.980003	76.360001	76.980003	76.980003
20200218	76.610001	76.949997	76.199997	76.940002	76.940002
20200219	77.029999	77.150002	76.290001	76.750000	76.750000
20200220	76.949997	78.480003	76.750000	77.519997	77.519997
20200221	76.930000	77.480003	76.349998	77.059998	77.059998
20200224	75.790001	75.830002	74.610001	75.070000	75.070000
20200225	76.000000	78.430000	73.589996	73.610001	73.610001
20200226	74.080002	75.449997	72.629997	73.290001	73.290001
20200227	71.870003	72.000000	67.269997	67.550003	67.550003
20200228	65.260002	66.720001	63.770000	66.720001	66.720001
20200302	67.650002	69.519997	66.820000	69.129997	69.129997
20200303	71.000000	71.919998	68.120003	68.250000	68.250000
20200304	69.500000	70.709999	68.889999	70.660004	70.660004
20200305	69.080002	70.139999	67.690002	68.690002	68.690002
20200306	66.480003	66.699997	59.889999	61.209999	61.209999
20200309	48.009998	48.009998	36.369999	38.099998	38.099998
20200310	41.880001	42.680000	30.459999	38.029999	38.029999
20200311	36.410000	38.279999	34.220001	35.939999	35.939999
20200312	32.209999	32.270000	28.000000	28.459999	28.459999
20200313	31.129999	31.340000	26.870001	30.719999	30.719999
20200316	27.500000	27.940001	24.629999	25.010000	25.010000
20200317	25.150000	25.370001	20.280001	21.490000	21.490000
20200318	20.040001	20.299999	12.160000	15.370000	15.370000
20200319	16.100000	20.930000	13.960000	20.490000	20.490000
20200320	22.740000	24.850000	20.010000	20.670000	20.670000
20200323	20.209999	20.600000	18.590000	19.600000	19.600000
20200324	22.500000	22.540001	20.200001	22.049999	22.049999
20200325	23.670000	24.799999	20.610001	23.110001	23.110001
20200326	23.450001	24.990000	22.230000	24.360001	24.360001
20200327	23.450001	23.600000	20.490000	20.940001	20.940001
20200330	20.570000	20.600000	18.540001	20.040001	20.040001
20200331	20.559999	22.840000	20.309999	21.809999	21.809999
20200401	20.500000	20.860001	19.190001	19.200001	19.200001
20200402	19.980000	24.719999	19.480000	21.629999	21.629999
20200403	22.780001	23.750000	20.030001	21.639999	21.639999
20200406	22.000000	24.129999	22.000000	23.330000	23.330000
20200407	25.510000	26.450001	24.000000	24.280001	24.280001
20200408	25.200001	26.740000	25.100000	26.450001	26.450001
20200409	28.590000	30.290001	27.240000	28.400000	28.400000
20200413	30.500000	30.940001	27.820000	29.219999	29.219999
20200414	29.889999	30.510000	28.959999	30.469999	30.469999
20200415	28.690001	29.250000	27.299999	27.410000	27.410000
20200416	27.309999	27.309999	25.920000	26.570000	26.570000
20200417	27.490000	29.540001	27.450001	29.379999	29.379999
20200420	27.000000	29.469999	26.700001	28.209999	28.209999
20200421	26.850000	27.490000	25.559999	26.930000	26.930000
20200422	28.000000	28.110001	26.030100	27.125000	27.125000
