Date	Open	High	Low	Close	Volume
20200319	12.000000	12.000000	12.000000	12.000000	12.000000
20200320	13.000000	13.000000	12.000000	12.750000	12.750000
20200323	12.750000	12.750000	11.500000	11.540000	11.540000
20200324	12.900000	12.900000	11.500000	11.700000	11.700000
20200325	11.800000	13.450000	11.800000	13.450000	13.450000
20200326	14.000000	15.450000	14.000000	15.450000	15.450000
20200327	15.000000	16.000000	14.550000	14.550000	14.550000
20200330	15.250000	16.500000	15.250000	15.900000	15.900000
20200331	16.389999	17.250000	14.560000	17.250000	17.250000
20200401	16.000000	16.000000	14.560000	15.050000	15.050000
20200402	15.660000	15.900000	12.120000	13.280000	13.280000
20200403	13.750000	17.000000	13.380000	16.920000	16.920000
20200406	17.059999	17.150000	14.850000	15.440000	15.440000
20200407	15.200000	15.800000	14.550000	15.250000	15.250000
20200408	14.500000	15.250000	13.730000	14.260000	14.260000
20200409	14.000000	15.500000	13.900000	14.780000	14.780000
20200413	14.500000	14.500000	13.980000	13.990000	13.990000
20200414	14.000000	14.200000	13.780000	13.870000	13.870000
20200415	13.530000	13.655000	12.940000	13.360000	13.360000
20200416	13.150000	13.250000	12.260000	12.890000	12.890000
20200417	13.300000	13.830000	12.930000	13.740000	13.740000
20200420	13.500000	14.740000	13.475000	14.450000	14.450000
20200421	14.220000	15.250000	14.180000	14.690000	14.690000
20200422	14.950000	15.160000	14.310000	14.410000	14.410000
