Date	Open	High	Low	Close	Volume
20200203	117.400002	118.739998	117.000000	118.669998	118.097702
20200204	118.500000	119.199997	117.220001	117.220001	116.654694
20200205	116.519997	118.959999	115.000000	118.279999	117.709579
20200206	118.620003	118.620003	117.129997	117.660004	117.092575
20200207	117.809998	118.139999	117.150002	117.589996	117.022903
20200210	117.919998	118.349998	117.690002	118.309998	117.739433
20200211	118.620003	119.680000	118.480003	119.360001	118.784370
20200212	118.879997	119.220001	117.669998	117.940002	117.371223
20200213	117.930000	119.559998	117.820000	119.500000	118.923698
20200214	118.830002	120.529999	117.199997	120.449997	119.869110
20200218	120.660004	121.080002	120.260002	120.570000	119.988541
20200219	120.470001	120.480003	119.599998	119.599998	119.023216
20200220	119.739998	119.779999	118.839996	119.230003	118.655006
20200221	118.820000	119.639999	118.529999	118.699997	118.699997
20200224	117.930000	118.279999	116.089996	116.220001	116.220001
20200225	116.620003	117.099998	113.690002	113.739998	113.739998
20200226	113.980003	115.239998	112.050003	112.089996	112.089996
20200227	111.769997	113.120003	107.199997	107.199997	107.199997
20200228	104.830002	105.660004	101.730003	103.250000	103.250000
20200302	103.709999	108.309998	103.309998	107.889999	107.889999
20200303	107.620003	109.370003	105.690002	106.540001	106.540001
20200304	107.940002	113.150002	107.940002	112.900002	112.900002
20200305	111.019997	111.900002	110.190002	111.129997	111.129997
20200306	107.599998	111.669998	106.500000	111.250000	111.250000
20200309	107.110001	107.470001	103.330002	105.129997	105.129997
20200310	106.860001	107.309998	101.160004	105.430000	105.430000
20200311	103.199997	103.930000	100.529999	102.849998	102.849998
20200312	96.129997	102.730003	90.510002	94.680000	94.680000
20200313	98.809998	100.669998	93.550003	100.669998	100.669998
20200316	92.870003	97.980003	91.169998	93.680000	93.680000
20200317	96.199997	108.330002	95.790001	108.089996	108.089996
20200318	102.639999	109.940002	95.260002	105.839996	105.839996
20200319	106.379997	106.379997	92.180000	98.510002	98.510002
20200320	98.849998	99.010002	85.559998	86.199997	86.199997
20200323	85.519997	85.570000	77.919998	80.500000	80.500000
20200324	83.199997	89.300003	81.209999	88.589996	88.589996
20200325	87.930000	93.790001	79.480003	90.300003	90.300003
20200326	90.190002	97.080002	90.190002	96.269997	96.269997
20200327	92.779999	100.419998	91.209999	97.410004	97.410004
20200330	98.519997	103.379997	97.860001	102.820000	102.820000
20200331	101.639999	102.260002	98.559998	99.230003	99.230003
20200401	95.599998	100.029999	92.330002	94.639999	94.639999
20200402	93.519997	98.580002	93.519997	97.370003	97.370003
20200403	95.919998	97.160004	93.010002	94.160004	94.160004
20200406	97.820000	104.949997	97.739998	103.629997	103.629997
20200407	105.959999	105.959999	98.080002	98.419998	98.419998
20200408	99.300003	103.419998	97.769997	102.650002	102.650002
20200409	103.959999	108.410004	103.410004	105.199997	105.199997
20200413	104.029999	104.800003	101.800003	103.269997	103.269997
20200414	105.680000	108.650002	104.370003	108.110001	108.110001
20200415	106.209999	107.620003	105.400002	106.349998	106.349998
20200416	106.639999	107.300003	103.650002	105.089996	105.089996
20200417	106.650002	111.339996	105.730003	110.699997	110.699997
20200420	108.889999	109.410004	102.120003	102.529999	102.529999
20200421	100.570000	103.279999	100.290001	100.790001	100.790001
20200422	102.760002	103.250000	101.400002	102.320000	102.320000
20200423	103.180000	103.269997	100.419998	101.330002	101.330002
20200424	102.639999	104.720001	101.160004	104.410004	104.410004
20200427	105.059998	106.099998	103.739998	105.550003	105.550003
20200428	106.760002	107.919998	105.019997	107.150002	107.150002
20200429	109.260002	109.260002	104.250000	104.860001	104.860001
20200430	104.470001	104.989998	101.279999	101.970001	101.970001
20200501	101.110001	101.110001	98.820000	100.099998	100.099998
20200504	99.669998	100.980003	98.669998	100.750000	100.750000
20200505	101.639999	102.949997	101.110001	101.769997	101.769997
20200506	102.150002	102.150002	96.089996	96.550003	96.550003
20200507	98.129997	101.290001	98.000000	99.510002	99.510002
