Date	Open	High	Low	Close	Volume
20200203	43.070000	43.139999	42.230000	42.279999	42.279999
20200204	42.990002	43.560001	42.750000	42.790001	42.790001
20200205	43.330002	43.959999	43.139999	43.799999	43.799999
20200206	44.080002	44.189999	43.060001	43.299999	43.299999
20200207	42.919998	43.020000	41.959999	41.990002	41.990002
20200210	41.840000	43.150002	41.639999	43.000000	43.000000
20200211	43.290001	44.389999	43.250000	44.009998	44.009998
20200212	44.230000	44.700001	43.720001	44.290001	44.290001
20200213	43.880001	44.200001	43.720001	44.000000	44.000000
20200214	44.000000	44.340000	43.720001	43.930000	43.930000
20200218	43.799999	44.220001	43.230000	43.980000	43.980000
20200219	44.000000	44.560001	43.900002	44.099998	44.099998
20200220	44.099998	44.689999	43.900002	44.520000	44.520000
20200221	44.220001	44.290001	43.889999	44.090000	44.090000
20200224	42.680000	43.419998	42.259998	42.840000	42.840000
20200225	41.209999	41.930000	40.509998	40.950001	40.950001
20200226	40.709999	41.180000	39.490002	39.599998	39.599998
20200227	38.820000	42.560001	38.759998	40.119999	40.119999
20200228	39.369999	40.459999	38.869999	39.549999	39.549999
20200302	39.730000	41.029999	38.700001	41.000000	41.000000
20200303	40.759998	41.860001	38.580002	38.700001	38.700001
20200304	39.380001	40.580002	38.090000	40.570000	40.570000
20200305	39.369999	41.830002	39.169998	41.630001	41.630001
20200306	40.490002	42.860001	40.410000	42.689999	42.689999
20200309	40.720001	42.810001	40.450001	40.950001	40.950001
20200310	41.830002	42.240002	39.750000	42.189999	42.189999
20200311	41.189999	41.189999	39.820000	39.970001	39.970001
20200312	38.029999	40.490002	38.000000	38.730000	38.730000
20200313	40.180000	41.570000	38.689999	41.490002	41.490002
20200316	37.160000	39.570000	37.160000	37.990002	37.990002
20200317	38.650002	39.439999	36.820000	39.130001	39.130001
20200318	37.130001	39.459999	34.770000	38.430000	38.430000
20200319	37.779999	38.029999	35.630001	36.849998	36.849998
20200320	37.130001	37.150002	34.119999	34.750000	34.750000
20200323	34.380001	35.980000	33.810001	35.599998	35.599998
20200324	36.830002	37.470001	35.689999	36.490002	36.490002
20200325	36.650002	37.810001	35.040001	36.889999	36.889999
20200326	37.240002	38.169998	36.759998	37.279999	37.279999
20200327	36.290001	37.700001	35.639999	36.849998	36.849998
20200330	36.840000	38.889999	36.400002	38.599998	38.599998
20200331	38.250000	39.060001	37.580002	37.810001	37.810001
20200401	36.810001	36.990002	35.220001	35.610001	35.610001
20200402	35.590000	37.070000	35.180000	35.939999	35.939999
20200403	36.099998	36.930000	35.560001	35.869999	35.869999
20200406	37.000000	38.509998	36.520000	38.220001	38.220001
20200407	39.000000	40.439999	38.410000	39.660000	39.660000
20200408	39.889999	40.910000	39.450001	40.220001	40.220001
20200409	40.520000	41.419998	39.639999	40.209999	40.209999
20200413	39.970001	40.439999	39.090000	39.630001	39.630001
20200414	40.189999	41.139999	40.040001	40.669998	40.669998
20200415	40.040001	40.500000	39.540001	40.080002	40.080002
20200416	40.049999	40.209999	39.209999	39.900002	39.900002
20200417	40.810001	41.380001	40.310001	41.080002	41.080002
20200420	40.450001	40.990002	39.750000	40.349998	40.349998
20200421	39.680000	39.950001	38.619999	38.720001	38.720001
20200422	39.349998	39.349998	37.919998	38.155102	38.155102
