Date	Open	High	Low	Close	Volume
20200203	167.270004	170.649994	167.009995	169.929993	169.094986
20200204	174.330002	178.800003	173.839996	178.800003	177.921402
20200205	176.059998	177.789993	168.800003	171.279999	170.438354
20200206	171.429993	173.389999	170.149994	171.740005	170.896103
20200207	170.710007	171.270004	164.759995	165.100006	164.288727
20200210	164.100006	169.009995	164.080002	168.919998	168.089951
20200211	169.210007	173.529999	168.330002	173.039993	172.189697
20200212	174.000000	176.460007	173.850006	175.970001	175.105301
20200213	175.679993	180.080002	174.910004	178.720001	177.841797
20200214	179.119995	179.759995	174.889999	176.279999	175.413788
20200218	167.000000	172.000000	166.669998	169.229996	168.398422
20200219	172.210007	174.820007	171.000000	172.979996	172.129990
20200220	171.740005	172.419998	165.669998	167.300003	167.300003
20200221	165.669998	166.250000	160.809998	161.119995	161.119995
20200224	154.750000	156.860001	152.899994	153.729996	153.729996
20200225	155.279999	155.990005	147.070007	147.410004	147.410004
20200226	149.000000	150.649994	146.220001	147.270004	147.270004
20200227	142.809998	148.380005	142.270004	147.990005	147.990005
20200228	142.089996	153.929993	142.089996	153.710007	153.710007
20200302	154.500000	159.000000	151.710007	158.740005	158.740005
20200303	156.809998	159.289993	152.380005	153.809998	153.809998
20200304	157.089996	160.710007	154.660004	160.710007	160.710007
20200305	156.649994	158.880005	154.479996	156.690002	156.690002
20200306	152.050003	156.139999	151.490005	155.679993	155.679993
20200309	144.979996	150.490005	144.259995	144.919998	144.919998
20200310	148.509995	154.759995	145.580002	154.570007	154.570007
20200311	150.130005	152.220001	142.619995	144.919998	144.919998
20200312	135.240005	139.000000	125.250000	125.360001	125.360001
20200313	132.820007	145.759995	127.889999	145.369995	145.369995
20200316	128.690002	140.479996	126.190002	129.500000	129.500000
20200317	131.869995	150.440002	125.639999	149.630005	149.630005
20200318	132.250000	143.130005	127.360001	132.020004	132.020004
20200319	131.880005	135.419998	126.760002	127.360001	127.360001
20200320	129.710007	132.550003	113.080002	114.019997	114.019997
20200323	114.320000	120.690002	110.190002	116.360001	116.360001
20200324	121.699997	136.550003	120.000000	136.360001	136.360001
20200325	135.720001	145.940002	134.389999	137.470001	137.470001
20200326	140.770004	150.470001	139.059998	149.759995	149.759995
20200327	145.039993	147.169998	141.320007	142.240005	142.240005
20200330	142.070007	150.570007	142.000000	149.520004	149.520004
20200331	150.839996	150.839996	141.529999	143.740005	143.740005
20200401	138.699997	141.220001	129.660004	131.610001	131.610001
20200402	129.570007	133.789993	129.309998	132.440002	132.440002
20200403	130.820007	132.990005	125.559998	127.940002	127.940002
20200406	135.210007	149.210007	132.929993	148.500000	148.500000
20200407	154.100006	155.000000	146.520004	147.270004	147.270004
20200408	149.589996	153.149994	146.910004	152.369995	152.369995
20200409	152.149994	157.869995	148.490005	150.119995	150.119995
20200413	149.500000	152.419998	148.179993	152.089996	152.089996
20200414	155.100006	162.339996	153.809998	161.729996	161.729996
20200415	158.179993	158.300003	151.110001	153.220001	153.220001
20200416	158.210007	160.750000	154.229996	156.649994	156.649994
20200417	160.929993	162.289993	157.789993	161.210007	161.210007
20200420	158.789993	160.339996	156.050003	156.300003	156.300003
20200421	153.440002	154.179993	147.460007	148.589996	148.589996
20200422	154.309998	154.324997	151.289993	154.029999	154.029999
