Date	Open	High	Low	Close	Volume
20200203	85.070000	86.790001	85.070000	86.010002	85.611000
20200204	87.139999	89.000000	86.620003	88.379997	87.970001
20200205	88.879997	89.199997	86.629997	87.559998	87.559998
20200206	87.650002	87.699997	86.150002	86.150002	86.150002
20200207	85.760002	86.620003	85.320000	86.419998	86.419998
20200210	86.430000	87.620003	86.169998	87.529999	87.529999
20200211	87.860001	88.230003	87.349998	87.510002	87.510002
20200212	87.709999	89.099998	87.389999	88.570000	88.570000
20200213	88.500000	90.510002	88.260002	89.930000	89.930000
20200214	90.180000	90.410004	88.989998	89.279999	89.279999
20200218	89.370003	89.470001	88.290001	89.230003	89.230003
20200219	89.489998	90.440002	89.300003	90.139999	90.139999
20200220	89.730003	90.250000	87.730003	88.599998	88.599998
20200221	88.000000	88.389999	87.000000	87.360001	87.360001
20200224	84.529999	86.050003	84.260002	84.519997	84.519997
20200225	85.019997	85.349998	81.669998	82.190002	82.190002
20200226	82.599998	83.239998	80.639999	80.669998	80.669998
20200227	78.830002	80.870003	77.360001	78.290001	78.290001
20200228	76.169998	78.809998	75.720001	78.430000	78.430000
20200302	77.919998	82.410004	77.660004	82.379997	82.379997
20200303	82.300003	82.620003	78.110001	78.599998	78.599998
20200304	79.290001	80.199997	77.879997	79.669998	79.669998
20200305	77.900002	77.900002	75.279999	76.190002	76.190002
20200306	73.459999	75.709999	72.050003	75.339996	75.339996
20200309	70.580002	74.029999	70.080002	70.830002	70.830002
20200310	72.559998	74.949997	70.029999	74.870003	74.870003
20200311	72.830002	74.269997	67.400002	68.300003	68.300003
20200312	62.950001	66.790001	61.459999	62.099998	62.099998
20200313	65.650002	70.180000	63.509998	69.919998	69.919998
20200316	60.630001	63.950001	58.110001	58.590000	58.590000
20200317	59.549999	59.619999	53.610001	58.980000	58.980000
20200318	55.549999	57.650002	50.020000	56.330002	56.330002
20200319	56.230000	63.360001	53.549999	61.410000	61.410000
20200320	62.299999	65.680000	57.910000	58.029999	58.029999
20200323	57.230000	57.439999	54.000000	56.549999	56.549999
20200324	62.610001	65.160004	61.000000	64.879997	64.879997
20200325	66.830002	69.639999	63.490002	65.809998	65.809998
20200326	66.709999	71.580002	66.250000	69.900002	69.900002
20200327	66.680000	68.250000	64.820000	66.339996	66.339996
20200330	66.559998	68.220001	64.580002	67.860001	67.860001
20200331	67.180000	68.320000	65.309998	65.739998	65.739998
20200401	63.000000	64.760002	61.580002	62.619999	62.619999
20200402	65.750000	68.699997	62.910000	65.000000	65.000000
20200403	64.470001	64.750000	60.900002	63.049999	63.049999
20200406	66.269997	68.339996	64.410004	67.790001	67.790001
20200407	71.570000	72.480003	68.330002	68.709999	68.709999
20200408	69.580002	71.919998	68.540001	71.570000	71.570000
20200409	71.199997	74.260002	70.139999	73.879997	73.879997
20200413	73.519997	73.599998	70.349998	71.760002	71.760002
20200414	73.690002	74.330002	72.660004	73.669998	73.669998
20200415	72.010002	73.180000	70.709999	72.550003	72.550003
20200416	73.110001	73.760002	71.349998	73.510002	73.510002
20200417	76.620003	77.389999	74.970001	77.099998	77.099998
20200420	76.019997	76.980003	75.080002	75.320000	75.320000
20200421	73.400002	73.959999	71.739998	72.720001	72.720001
20200422	74.550003	75.779999	74.430000	75.739998	75.739998
