Date	Open	High	Low	Close	Volume
20200203	197.059998	201.820007	196.199997	201.529999	201.003983
20200204	202.320007	204.580002	201.740005	203.449997	202.918976
20200205	204.820007	206.500000	202.490005	206.300003	205.761536
20200206	206.500000	207.169998	205.300003	207.110001	206.569427
20200207	206.979996	207.500000	205.110001	205.639999	205.103256
20200210	204.990005	205.720001	204.330002	204.940002	204.405090
20200211	204.800003	205.880005	204.520004	204.619995	204.085922
20200212	205.639999	207.500000	204.809998	206.820007	206.280182
20200213	206.360001	208.649994	205.309998	207.059998	206.519547
20200214	207.520004	208.130005	206.490005	207.309998	206.768906
20200218	207.179993	209.669998	204.710007	207.679993	207.137924
20200219	208.619995	210.710007	208.220001	210.309998	209.761063
20200220	210.000000	211.240005	205.020004	206.309998	205.771515
20200221	205.809998	208.830002	205.589996	207.500000	206.958405
20200224	203.839996	205.509995	202.259995	202.520004	201.991409
20200225	202.000000	203.410004	193.720001	194.779999	194.271606
20200226	195.500000	197.639999	193.839996	194.429993	193.922516
20200227	191.380005	192.710007	183.429993	183.479996	183.001099
20200228	178.339996	180.610001	174.009995	180.449997	179.979004
20200302	182.699997	191.279999	182.089996	191.220001	190.720901
20200303	192.199997	197.039993	191.000000	193.919998	193.413849
20200304	197.910004	204.529999	195.399994	204.339996	203.806656
20200305	199.289993	202.740005	197.550003	198.910004	198.390839
20200306	193.910004	195.750000	188.880005	194.410004	193.902573
20200309	182.750000	189.970001	181.250000	183.839996	183.360153
20200310	188.960007	191.729996	180.910004	190.850006	190.351868
20200311	185.360001	187.639999	182.300003	186.580002	186.093018
20200312	174.630005	178.389999	165.000000	165.059998	164.629181
20200313	173.850006	180.860001	164.449997	180.070007	179.600006
20200316	163.300003	173.289993	157.410004	166.119995	166.119995
20200317	167.589996	176.699997	163.639999	169.500000	169.500000
20200318	164.979996	170.899994	143.610001	156.529999	156.529999
20200319	155.570007	164.449997	151.479996	159.580002	159.580002
20200320	159.419998	159.429993	140.570007	141.880005	141.880005
20200323	141.320007	141.320007	124.599998	125.220001	125.220001
20200324	135.410004	154.460007	132.029999	152.970001	152.970001
20200325	151.020004	157.009995	148.210007	151.779999	151.779999
20200326	154.690002	163.210007	153.020004	161.690002	161.690002
20200327	154.970001	162.199997	153.419998	157.479996	157.479996
20200330	160.020004	162.580002	157.259995	161.399994	161.399994
20200331	160.139999	160.699997	155.380005	155.830002	155.830002
20200401	150.419998	151.220001	145.309998	146.699997	146.699997
20200402	147.210007	152.970001	145.770004	152.160004	152.160004
20200403	151.300003	154.720001	146.570007	147.259995	147.259995
20200406	154.970001	158.630005	153.960007	157.389999	157.389999
20200407	162.910004	164.789993	158.130005	159.110001	159.110001
20200408	159.979996	171.779999	158.419998	170.809998	170.809998
20200409	173.339996	180.339996	172.009995	179.860001	179.860001
20200413	176.339996	180.100006	171.779999	174.660004	174.660004
20200414	180.000000	181.539993	177.360001	180.800003	180.800003
20200415	178.089996	178.380005	173.649994	174.660004	174.660004
20200416	175.350006	176.190002	170.350006	172.490005	172.490005
20200417	176.660004	179.259995	175.000000	178.750000	178.750000
20200420	175.770004	176.889999	172.750000	172.960007	172.960007
20200421	170.000000	172.389999	168.559998	170.160004	170.160004
20200422	173.070007	175.600006	171.949997	174.759995	174.759995
20200423	175.429993	178.080002	175.009995	175.039993	175.039993
20200424	177.130005	180.220001	174.940002	180.080002	180.080002
20200427	180.729996	189.000000	180.520004	187.509995	187.509995
20200428	194.000000	199.820007	191.259995	197.580002	197.580002
20200429	197.839996	199.949997	196.660004	197.580002	197.580002
20200430	194.119995	195.330002	192.050003	193.500000	193.500000
20200501	190.210007	191.220001	187.839996	190.000000	190.000000
20200504	188.940002	191.800003	185.850006	191.520004	191.520004
20200505	195.369995	196.690002	192.929993	193.320007	193.320007
20200506	193.250000	196.500000	192.220001	193.029999	193.029999
20200507	196.250000	197.029999	193.761002	195.229996	195.229996
